Peak,FA_name,Common_name,Class,synthesizer,short_SAFA,iSAFA_etc,other_MUFA,LIN,other_n3_n6_PUFA,OA_16.4n3,ALA_SDA,long_SAFA,EPA_DHA,other_PUFA,i00121517,i00221517,i00310311,i00410311,i00630316,i00720317,i00840321,i00940321,i01040320,i01120318,i01220319,i01310314,i09012011,i09212013,i10830315,i09412014,i08522017,i08622019,i08722018,i08031715,i09612012,i08130115,i08232015,i08342021,i08440121,i09310113,i10532016,i10631716,i09710112,i09110111,i09510114,i01711113,i00050410,i00050810,i07110913,i00051410,i10910714
8, 12-0,,SAFA,,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.132780206,NA,NA,NA,NA,NA,NA,NA,NA,0.127345464,0.135860852,NA,0.511988458,NA,NA,NA,NA,0.126593466,NA,0.198976744,0.096147621,NA,NA,0.077072722,NA,NA,NA,0.291631619,NA,NA,NA,NA,0.136233043,NA
13,13-0,,SAFA,,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124853536,NA,NA,0.235788386,NA,NA,0.090006864,NA,0.258858164,NA,0.125246386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,i14-0,,SAFA,bacteria,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.640887797,0.191045969,NA,0.152224336,NA,NA,0.177558046,NA,NA,NA,0.127160064,0.124250509,NA,0.207552178,0.094713695,NA,NA,0.364798846,0.242349422,NA,NA,NA,NA,NA,NA
17,14-0,,SAFA,,1,0,0,0,0,0,0,0,0,0,0.788014029,1.199881602,0.981098889,1.262995327,1.803088168,1.067363528,1.86005173,1.146182295,0.751495166,1.028928447,1.148779239,1.141298564,6.189509408,5.414374942,0.553106613,9.0173479,10.7402549,8.148636849,8.740258678,1.073166568,3.501236306,15.16634684,12.15035148,7.747707994,7.870671116,2.065046772,8.139196707,4.988561559,1.768889684,1.565590187,5.414188259,0.477970376,1.233780449,3.803234287,1.128020614,1.068560882,1.113537809
18,14-0,,SAFA,,1,0,0,0,0,0,0,0,0,0,NA,NA,0.452705797,1.493555929,NA,0.236701152,NA,NA,NA,0.804663695,0.529539603,0.455659253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081599328,0.079976784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,14-1,,MUFA,,0,0,1,0,0,0,0,0,0,0,NA,0.965777924,0.557232408,1.946214658,1.039281136,1.649876354,1.783057243,1.261074538,0.458960348,3.393250121,1.823171401,0.344940519,0.962455027,1.104667821,0.939499392,0.661809955,0.355720244,0.226889504,0.245081151,NA,0.839998049,0.383414304,0.775890895,0.485533679,NA,0.375837909,0.530980427,0.150932837,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,14-3n?,,PUFA,,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0.252233834,NA,NA,NA,NA,NA,NA,NA,0.157507838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,i15-0,,SAFA,bacteria,0,1,0,0,0,0,0,0,0,0,NA,NA,0.172572301,0.324467458,NA,0.181496613,NA,NA,NA,NA,0.192757399,0.349532448,1.20330706,1.19124488,NA,0.770890513,0.832560166,1.024487851,1.296838722,NA,0.542561768,2.300678256,1.235753911,1.193559026,1.361617441,1.283655491,1.074026609,0.55684218,0.379658109,0.923626518,1.667288018,NA,0.154868567,NA,0.482516104,NA,0.55541639
24,a15-0,,SAFA,bacteria,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,0.139866768,NA,NA,NA,NA,NA,NA,NA,0.225440999,0.801125947,0.6109415,NA,0.595409873,0.723291218,0.380055539,0.550511042,NA,0.285514764,1.205372301,0.897289902,0.808379464,0.894884628,0.67204881,0.671552356,0.339288566,0.310178594,0.705176887,1.526419301,NA,0.198663945,NA,NA,0.610387069,NA
26,15-0,,SAFA,bacteria,0,1,0,0,0,0,0,0,0,0,NA,NA,0.38011551,0.574490355,NA,0.178790116,0.352583875,0.321912469,0.397307913,0.356571462,0.271798397,0.60056504,1.321760276,1.31822326,NA,1.846573671,0.574674373,0.479412367,0.933898953,NA,1.58977327,1.310562652,0.826691224,0.87643696,1.189429804,1.296853374,0.635848802,0.389918617,1.303106394,0.849708232,1.881692759,0.26525866,0.831689986,0.73396084,NA,NA,NA
31,i16-0,,SAFA,bacteria,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222390624,0.503930506,0.400734004,NA,0.306781516,0.167988096,NA,0.226928722,NA,0.275041926,0.468542781,0.246468262,0.285451554,NA,0.505737066,0.320133089,0.238398257,NA,0.544203185,0.48970516,NA,NA,NA,0.376568651,0.540251956,NA
32,16-0,,SAFA,t-POM,1,0,0,0,0,0,0,0,0,0,22.31882389,21.29056901,18.88915839,21.74422407,21.30635277,34.54464857,28.10661884,23.20575083,34.82877084,20.54718412,21.59640972,17.39418772,25.31019589,25.47565965,26.2346058,26.63977172,17.1589463,20.0900282,17.77224825,12.70444039,23.43493507,27.000255,12.46966177,17.68554364,30.14161749,24.01829183,13.96839125,13.3051938,19.6706905,24.98118419,27.05804314,23.24351422,31.01056885,40.07183642,12.76573742,19.88712255,23.34764622
33,16-0 (secondary),,SAFA,t-POM,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.305660068,NA,0.650194499,NA,NA,0.587456743,0.246124663,0.262452259,NA,NA,0.311015111,0.228728225,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,16-1n9t,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,0,0,1,0,0,0,0,0,0,0,NA,0.736238365,0.470324606,0.378344009,NA,0.667500284,NA,NA,0.418970855,0.463095481,0.516657291,0.566679896,1.32604855,1.436129077,0.388882279,0.514455488,0.20404837,NA,0.632345746,NA,0.421366283,0.901714042,0.251165792,1.364002465,1.898052228,1.748914565,0.156876726,NA,1.256850012,1.278426157,1.511403905,0.565848971,2.173499152,1.201393891,NA,0.251521416,NA
36,16-1n9c,,MUFA,,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318510609,NA,NA,NA,0.533958664,NA,NA,NA,NA,NA,NA,0.10229519,0.144688693,NA,NA,0.154438829,NA,NA,NA,0.929260254,NA,NA,NA,NA,NA,NA
37,16-1n7,Palmitoleic acid,MUFA,bacteria,0,1,0,0,0,0,0,0,0,0,8.453881828,13.69334258,3.477108689,4.709313587,5.926809471,7.584230478,7.259083502,4.63604274,2.724222196,6.829393104,5.435239035,6.544854133,11.68881884,9.023695396,6.498159,6.552786072,1.627862424,1.601414778,1.80527458,1.882732037,3.290173812,4.531634015,2.953406366,6.876954665,8.399813472,12.14056735,3.447030259,2.753484721,7.011692985,15.33616124,19.27602447,2.779373573,6.505133913,4.656834635,0.912116092,2.546818829,4.31864915
38,16-1n6,,MUFA,MOB,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.411342568,0.504351182,0.468273361,NA,NA,0.448854288,0.217689935,0.202218738,NA,0.698484617,0.336451019,NA,0.603192271,NA,NA,NA,NA,0.124359788,0.133792317,NA,NA,0.128212091,NA,NA,NA,0.463525346,8.297204231,1.825816907,NA,NA,0.585421148,8.420754528
39,16-1n5,,MUFA,bacteria (sulfate reducers),0,1,0,0,0,0,0,0,0,0,NA,0.300432785,0.291061101,0.371043526,NA,0.406366088,NA,NA,NA,NA,NA,0.324872509,0.653196678,0.656906808,NA,0.423852988,0.359866037,NA,0.239889962,0.394074194,0.418498549,1.362647673,0.862729281,0.74527505,1.002636969,0.902690551,0.632663243,0.540898375,0.629676718,0.687284122,0.894084064,0.436941105,0.620054497,NA,0.952631733,3.39433858,NA
40,17-0,,SAFA,bacteria,0,1,0,0,0,0,0,0,0,0,NA,NA,0.222696173,0.261756234,NA,0.30182893,0.360293352,NA,NA,0.458832622,NA,0.282015276,0.696309792,0.745821888,0.348677854,0.403445035,0.257966324,0.518996478,0.352078571,0.846349779,0.462591759,1.651166038,0.867560045,0.575657424,0.706475188,0.99732842,0.406054526,0.131548408,0.551791428,0.927821733,0.572554004,NA,0.14758658,NA,NA,NA,NA
41,16-2,,PUFA,green algae and diatoms,0,0,0,0,0,0,0,0,0,1,NA,1.18220888,0.819572809,0.73641185,NA,0.414315232,0.396402347,1.061301236,0.522410047,0.998345639,2.272795879,0.674671079,NA,NA,0.462923957,NA,NA,NA,NA,NA,0.171407569,NA,0.068956885,0.129543062,NA,NA,NA,0.268858484,NA,NA,NA,0.518863956,NA,NA,NA,NA,0.742218479
41.5,?,,SAFA,,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.319164802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,17-0,,SAFA,bacteria,0,1,0,0,0,0,0,0,0,0,NA,NA,1.093049896,0.627349387,NA,0.23525464,0.478493823,0.596683509,0.951420145,NA,0.592988269,0.809763559,0.494219918,0.496513692,NA,0.575726292,0.567235754,0.518924326,0.774940744,0.989909398,0.433962121,1.578535137,1.093745503,0.911373939,0.893351202,0.68593817,1.39562479,1.135648036,0.615162133,0.732168098,0.788303822,NA,0.140479523,NA,NA,0.686603321,NA
42.5,17-1,,MUFA,bacteria,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.180587156,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089083259,NA,NA,NA,NA,NA,NA,NA,0.304338174,NA,0.163137818,NA,NA,NA,NA
43,17-1?,,MUFA,,0,0,1,0,0,0,0,0,0,0,NA,0.314846965,0.289374239,0.403867147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252249586,0.34389614,NA,NA,0.227854609,NA,NA,NA,NA,NA,NA,NA,NA,0.104158918,NA
44,16-2?,,PUFA,,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225837199,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078418001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.319815339,2.492213044,NA,NA,NA
45,17-0,,SAFA,,1,0,0,0,0,0,0,0,0,0,NA,NA,0.960227465,1.275708006,1.486606511,1.537287325,1.441205801,1.298287593,1.111727271,2.448519147,1.111667258,0.995039365,1.55861174,1.756845703,1.725195333,1.279461367,0.385416626,0.692654957,0.930113282,0.975422142,1.495909462,1.442568599,0.425444964,0.655616697,1.241918572,2.936897321,0.405831336,0.449779544,3.133835414,2.173676866,1.768994943,NA,0.338965711,NA,NA,2.28501106,NA
45.5,16-3n4,,PUFA,,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109346486,0.215691578,NA,NA,0.155059608,NA,NA,NA,NA,NA,0.584677538,NA,NA,NA,NA
46,16-4n3,,PUFA,diatom,0,0,0,0,0,1,0,0,0,0,NA,0.963594327,1.817383772,1.636058293,NA,0.495670564,1.432228615,0.830296277,1.376479507,2.292964768,2.168453378,1.151396924,1.225185069,1.306068815,0.756481652,1.268135616,0.384818724,0.412853014,0.530915473,0.647466342,1.644039494,0.657786625,0.762329825,1.13932535,0.784037562,0.945735856,0.969874238,NA,NA,1.141079356,0.839683008,8.052780783,0.641704039,3.630179752,NA,0.111819431,6.696456645
47,17-1n7t,,MUFA,,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.451233795,NA,NA,NA,NA,NA,NA,NA,NA,0.689214787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47007691,1.311554955,NA,NA,NA,NA,NA,NA,NA,NA
49,17-1n7c,,MUFA,,0,0,1,0,0,0,0,0,0,0,NA,0.475790335,0.864279335,0.860933709,NA,NA,0.453537413,NA,NA,0.6921162,0.989401181,0.404420348,0.528015333,0.402114521,NA,0.430669846,0.29507263,NA,0.344565039,NA,NA,NA,0.35173739,0.463630595,NA,NA,0.324048405,0.239522898,NA,NA,NA,NA,NA,NA,NA,0.161243179,NA
50,i18-0,,SAFA,bacteria,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.411838264,NA,NA,0.240933319,0.416165016,0.848534864,NA,0.325869981,0.749463842,0.461005503,0.254193193,0.42347366,0.53526929,0.451501687,0.328856866,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,17-2? Or a18-0,,PUFA or SAFA,could be bacteria,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.350028639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.851603219,NA,NA,0.455745518,NA
52,18-0,Stearic acid,SAFA,wax,1,0,0,0,0,0,0,0,0,0,7.885249719,4.044344086,5.853584872,7.489689016,12.69004531,13.08807576,12.94878162,10.63523783,10.11851157,8.94255886,10.03118011,6.958224686,6.400617489,6.940380499,15.55252569,5.630952875,5.592180178,7.274711705,4.036465691,7.363062914,6.152569201,11.55027943,3.068733835,4.209774581,9.230639521,9.450749647,2.91697774,3.33863773,8.702336569,8.785875047,6.812831757,1.976332152,7.86732453,21.21210423,3.050204985,2.790355882,3.041922388
54,18-1n9c,OA (oleic acid),MUFA,diatom,0,0,0,0,0,1,0,0,0,0,15.69117435,20.39463503,26.73859937,26.44681766,32.62125791,23.60578899,23.6435267,27.26361558,28.95792723,28.25075346,27.87564076,20.02295335,10.07813846,13.60698992,29.74677508,8.294030151,4.553866025,5.891086951,7.66614753,16.72161174,10.30653191,10.33829978,4.978333953,13.9143511,17.21064382,15.69737853,7.886380218,13.44749505,19.42827971,14.15602193,9.261619545,5.214236286,13.0998257,17.7941292,29.4075899,7.261552358,5.487319172
55,18-1n7,,MUFA,bacteria,0,1,0,0,0,0,0,0,0,0,2.765888087,2.944271307,2.490949213,2.358842712,2.671572645,3.99250545,2.636452009,2.736156241,1.98845051,3.27891213,2.945846002,3.811028915,7.638073377,6.684143339,4.200371319,4.128413985,0.952764316,1.379279366,2.99707783,3.720092058,3.084215749,6.141264347,1.731024488,2.531754127,4.772051649,11.37468583,2.089438211,3.299304774,12.51855114,13.59483216,10.56563647,2.931272921,4.87814771,0.636778625,2.386406943,0.65286972,2.783672422
55.5,18-1n6,,MUFA,MOB,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107153042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,18-1n5,,MUFA,,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18068022,NA,NA,NA,0.40337637,0.345643695,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,18-2n6c,LIN (linoleic),PUFA,"scendesmus, fungi (green algae generally), high proportion in chlorophytes (brett chapter 6), dalsgaard table says terrestrial marker",0,0,0,1,0,0,0,0,0,0,5.306450258,7.074134308,14.18196729,10.55773642,4.730641412,1.472563762,4.445418922,13.07346308,5.355607197,3.746183029,7.066815406,18.09403005,3.705155342,4.147966935,2.5016878,4.275359154,7.717517911,8.430404059,4.501138527,6.805431969,7.054556435,2.227756951,3.947591215,3.652834357,3.366279762,2.720068504,4.404006486,5.620445589,5.479643769,3.432007579,1.675868422,5.804968014,6.289672188,0.918925803,6.147206311,16.08690337,4.999140012
61,18-2n6 (secondary),LIN (linoleic),PUFA,"scendesmus, fungi (green algae generally), high proportion in chlorophytes (brett chapter 6), dalsgaard table says terrestrial marker",0,0,0,1,0,0,0,0,0,0,NA,NA,2.056343434,1.114115648,NA,NA,0.621300258,2.181834436,0.989920782,NA,NA,2.598910705,NA,NA,NA,0.219825467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163663637,NA,NA,0.900561017,NA
62,18-3n6,GLA (gamma-linoleic),PUFA,,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.469931358,0.323986069,0.32415545,NA,0.756822348,0.487695013,0.40298301,0.543749974,0.617414509,1.048632384,NA,0.997644476,0.435403376,NA,NA,0.420647513,0.37868918,0.925888679,NA,NA,0.715754721,0.526460051,NA,NA,NA,NA
64,18-3n3,ALA (alpha-linolenic),PUFA,green algae and diatoms,0,0,0,0,0,0,1,0,0,0,4.837138977,6.355093358,10.93359986,8.422475286,6.607220789,1.732057101,3.683389983,3.400478235,3.067507601,11.65572907,6.638114579,6.520363111,4.599435914,4.277052546,2.93174932,3.610275546,4.637069404,3.487762833,5.646574016,5.795402564,6.476645272,1.717924638,5.002717413,4.8696937,2.144963449,2.335309551,4.982692114,5.152800587,3.903783782,3.090372402,1.095207059,26.81059064,5.553268191,2.348829824,1.447829105,29.57531311,18.53407923
65,18-4n3,SDA (stearidonic acid),PUFA,algae,0,0,0,0,0,0,1,0,0,0,0.951454102,1.117645525,0.366473738,NA,NA,NA,NA,NA,NA,NA,0.27979181,0.819458175,1.410856534,0.756855188,NA,2.072845164,6.359456186,3.574508799,5.136849764,5.927940676,2.301927306,1.435195801,12.00634692,3.521887607,1.031082361,0.349978283,5.47354414,5.55342486,1.137220984,0.819471714,0.448808222,NA,NA,NA,NA,NA,NA
67,18-5n3,,PUFA,,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.014030757,0.375086863,0.230081888,NA,NA,NA,1.49898231,0.26120781,NA,NA,0.472051682,0.195000175,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,20-0,,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*",0,0,0,0,0,0,0,1,0,0,NA,NA,0.492568865,0.577471302,1.273444226,1.069676986,1.132649254,0.935618663,0.86572138,0.727183483,0.833596632,0.388314366,0.323933291,0.356446266,1.649795303,0.253878367,0.393398605,0.816271149,0.457898152,0.661325673,0.341864697,0.627564629,0.674119015,0.482889325,NA,0.510572764,0.360284702,0.352622025,NA,NA,NA,NA,1.178637911,NA,5.840222998,2.207883305,2.609804575
69,20-1n9,,MUFA,calanoid,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072568754,0.232059045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,20-1n7,,MUFA,calanoid,0,0,1,0,0,0,0,0,0,0,NA,0.381270814,NA,0.315002384,0.722412634,0.652256639,0.529069557,0.540321734,NA,NA,0.530693678,0.260932724,0.341983076,0.420059129,0.882059897,0.515774369,0.393012933,0.452532239,0.390575758,NA,0.543530468,NA,0.359391997,0.646289294,NA,NA,0.513326242,0.35796124,NA,NA,NA,NA,0.244503259,NA,NA,NA,NA
74.5,20-3n3,,PUFA,,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215301485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,20-2n6,,PUFA,Euglenophyceae,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.324242013,0.629788098,0.716192339,0.842198548,NA,0.454701962,NA,0.380011076,0.214801637,NA,NA,0.416348148,0.310610313,NA,NA,NA,NA,0.292860288,NA,0.711960829,0.083778085,NA
76,20-3n6,,PUFA,Euglenophyceae,0,0,0,0,1,0,0,0,0,0,NA,0.389511106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253568507,NA,NA,0.37921051,NA,0.37241835,NA,0.119355778,0.132615432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,20-4n6,ARA (arachidonic),PUFA,macroalgae and protozoa,0,0,0,0,1,0,0,0,0,0,4.371439215,2.184483111,1.329292445,0.848554026,NA,NA,NA,NA,NA,0.773046677,0.66060062,2.90665903,2.252563116,2.017287501,NA,1.974721747,3.855228789,5.206139535,2.565776597,4.002677794,2.87332068,1.074386899,1.300709573,1.740661841,1.029397214,1.22526728,1.766397382,2.07493626,5.172460241,1.529843658,0.725231843,5.192195325,0.580699609,NA,0.797656107,NA,3.306648498
80,20-4n3,,PUFA,Euglenophyceae,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24361378,NA,NA,0.387698539,0.462586398,NA,0.968064355,0.550633345,0.54139362,NA,0.455720262,0.362763577,NA,NA,0.493885934,0.489960409,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,20-5n3,EPA (eicosapentaenoic),PUFA,"diatom, crypto, green algae, cyano (phytoplankton), also benthic algae",0,0,0,0,0,0,0,0,1,0,6.679929886,3.50313976,2.877441379,1.537316871,1.389738365,NA,1.302843164,1.14526093,NA,1.4649989,2.114327052,2.569627265,2.590410628,2.830566413,NA,3.287604279,7.834141116,7.747664837,6.529276513,17.90676113,4.871176456,1.541040613,5.360987307,6.394434655,2.097622769,1.579288052,11.04121189,16.45165548,3.247936203,1.411034353,0.569637804,2.294113089,0.173625982,NA,NA,NA,1.861380541
82,22-0,,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*",0,0,0,0,0,0,0,1,0,0,NA,NA,0.320128291,0.505490011,1.541470205,0.707771622,0.82101256,0.571114851,NA,0.518229465,0.588353064,0.251238488,0.356169777,0.389607261,1.202774166,0.295146042,0.247240101,0.466658713,0.555456754,NA,0.485425876,NA,0.33128011,0.39886587,NA,0.575137685,0.268748081,NA,0.647601589,NA,NA,0.79189283,5.449153981,0.499579446,12.12380065,2.289485172,4.026841642
85,21-5n3,,PUFA,,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33632821,NA,0.270938001,NA,NA,NA,0.366133003,0.198926375,NA,NA,0.317020525,0.370955368,NA,NA,NA,NA,0.265269253,NA,2.460146575,0.295860437,1.170915378
87,22-4n6,,PUFA,Euglenophyceae,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24439477,NA,NA,NA,NA,NA,0.112127501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.703605567,0.228698775,NA
88,22-5n6,DPA (docosapentaenoic),PUFA, Cryptophyceae and Chrysophyceae (Synurales),0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641604194,0.526157895,NA,4.722010677,3.721814228,4.250812132,1.253481953,1.72379602,2.764718974,NA,3.227981954,1.863181141,NA,NA,2.387985686,1.873326103,NA,NA,NA,0.855991341,NA,NA,NA,NA,NA
89,22-5n3,DPA (docosapentaenoic),PUFA,,0,0,0,0,1,0,0,0,0,0,2.103299615,1.344372527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.500894312,0.649390779,0.638348767,NA,NA,NA,0.473807042,0.333824405,NA,NA,0.611042011,0.34864314,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,22-6n3,DHA (docosahexaenoic),PUFA,"diatom, crypto, green algae, cyano (phytoplankton), also benthic algae",0,0,0,0,0,0,0,0,1,0,17.84725605,9.144416294,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.288819383,1.423004622,2.273963974,NA,3.395366681,13.08994779,11.76029027,15.44309197,8.068531824,8.471885125,0.567024849,13.16009921,8.275095457,1.084097814,NA,15.95402897,13.13283973,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,24-0,lignoceric acid,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*",0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,1.336641338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453772845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.769800839,5.694841668,NA,15.95040446,4.801501873,5.908973392
92,24-1n6|20,,MUFA,,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654315833,0.956220165,NA,1.406365833,0.727136336,1.186346798,1.079691858,NA,1.203277432,NA,0.619488652,0.860720988,NA,NA,0.98650602,0.243048984,NA,NA,NA,NA,NA,NA,NA,NA,NA
